:START_ID,:END_ID,:TYPE
e10871,e4546,定义
e10871,e11860,意义
e10871,e9549,核苷酸
e2336,e2336,中文学名
e2336,e1475,别称
e1420,e1420,中文名
e1420,e9679,受灾区域
e1420,e207,感染人数
e1420,e7762,病原体
e1420,e2191,遇难人数
e2519,e2519,中文名
e2519,e913,外文名
e2519,e9725,死亡病死
e2519,e240,疫情地区
e10371,e10371,中文名称
e10371,e6002,主持人
e10371,e8227,别名
e10371,e2639,制作公司
e10371,e9389,国家/地区
e10371,e11690,在线播放平台
e10371,e1742,外文名称
e10371,e8034,导演
e10371,e11122,播出状态
e10371,e2639,播出频道
e10371,e1271,晚会主题
e10371,e4381,晚会吉祥物
e10371,e4270,每集长度
e10371,e8523,类型
e10371,e7793,首播时间
e12027,e12027,中文名
e12027,e6181,发生地区
e7375,e7375,中文名
e7375,e1573,事发地点
e7375,e325,事发时间
e7375,e7762,涉及病毒
e1879,e1879,中文名
e1879,e4173,感染人数
e1879,e7498,死亡人数
e1879,e2198,疫情地区
e1917,e1917,中文名
e1917,e2654,临床症状
e1917,e4712,发生时间
e1917,e7239,死亡人数
e1917,e11930,死亡率
e1917,e11414,流行地区
e668,e668,中文名
e668,e10357,引发病毒
e668,e1452,最早发现地点
e668,e3455,最早发现时间
e6671,e6671,中文名
e6671,e7405,感染人数
e6671,e7868,死亡人数
e6671,e3391,疫情地区
e10357,e10357,中文名
e10357,e8580,命名时间
e10357,e7685,命名组织
e10357,e10475,外文名
e5622,e5622,中文名
e5622,e10357,引发病毒
e5622,e1452,最早发现地点
e5622,e3455,最早发现时间
e8023,e8023,中文名
e8023,e11979,产物或抗原
e8023,e5410,外文名
e8023,e1651,形态特点
e8023,e7806,种属
e8456,e8456,中文名
e8456,e3207,发现者
e8456,e1390,外文名
e8456,e18,提出时间
e10850,e10882,具体所指
e10850,e7611,别名
e10850,e9663,外文名
e10850,e7439,性质
e2144,e11570,中文名
e2144,e8359,别称
e2144,e10814,外文名
e2144,e11072,环境
e2144,e6754,类别
e2144,e5398,途径
e10915,e10915,中文名
e10915,e7759,形状
e10915,e5815,性质
e10915,e3863,感染疾病
e8398,e8748,中医病名
e8398,e227,传染性
e8398,e8398,别称
e8398,e11052,多发群体
e8398,e8691,常见病因
e8548,e8548,中文名
e8548,e2585,主要定居于
e8548,e4452,外文名
e8548,e1733,得名
e8548,e797,简称
e3721,e3721,中文名
e3721,e10144,作用
e3721,e2580,分子量
e3721,e2746,外文名
e3721,e9876,来源
e3721,e1778,领域
e868,e868,中文名
e868,e5213,别名
e868,e4250,外文名
e868,e5212,感染对象
e868,e1423,版本
e868,e3412,类别
e868,e6176,首度公布时间
e7815,e7815,中文名
e7815,e546,发现时间
e7815,e7476,发现者
e7815,e9598,外文名
e7815,e5735,说明
e3042,e3042,名称
e3042,e1238,所属分类
e3209,e3209,中文名
e3209,e9598,外文名
e3209,e4773,性质
e3209,e11950,释义
e9447,e9447,中文名
e9447,e6107,又名
e9447,e9598,外文名
e9447,e995,属于
e9447,e4972,生物
e9447,e105,繁殖
e11308,e11308,中文名
e11308,e7713,作用
e11308,e8882,别名
e11308,e9598,外文名
e11308,e3938,属性
e11308,e8818,构成
e1708,e5697,别名
e1708,e10268,是否处方药
e1708,e2102,是否纳入医保
e1708,e1708,药品名称
e1708,e202,运动员慎用
e7425,e7425,中文名
e7425,e2182,家族
e7425,e4742,性质
e7425,e9220,方式
e11456,e1649,传播途径
e11456,e1339,传染性
e11456,e10277,其他名称
e11456,e9062,发病部位
e11456,e9030,英文名称
e11456,e11456,西医学名
e6030,e6030,中文名
e6030,e2004,又称
